distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Calle Cristóbal Colón,-12.1244197,-77.0301716,-12.1255409,-77.0305278,129.95,0.26,0.26,0.39,0.21
Miraflores,Avenida Alfredo Benavides,-12.1244197,-77.0301716,-12.1245531,-77.0293907,86.27,0.17,0.17,0.26,0.14
Miraflores,Avenida Alfredo Benavides,-12.1247796,-77.0279301,-12.1249385,-77.0269052,112.94,0.23,0.23,0.34,0.18
Miraflores,Calle Alcanfores,-12.1247796,-77.0279301,-12.1256855,-77.0279782,100.35,0.2,0.2,0.3,0.16
Miraflores,Avenida La Paz,-12.1249385,-77.0269052,-12.1248229,-77.0268959,12.83,0.03,0.03,0.04,0.02
Miraflores,Avenida Alfredo Benavides,-12.1249385,-77.0269052,-12.1250987,-77.0259423,106.3,0.21,0.21,0.32,0.17
Miraflores,Calle Grimaldo del Solar,-12.1250987,-77.0259423,-12.1249858,-77.0259369,12.5,0.03,0.03,0.04,0.02
Miraflores,Avenida Alfredo Benavides,-12.1250987,-77.0259423,-12.1253462,-77.0244399,165.82,0.33,0.33,0.5,0.26
Miraflores,Avenida Alfredo Benavides,-12.1253462,-77.0244399,-12.12544,-77.0238773,62.11,0.12,0.12,0.18,0.1
Miraflores,Avenida Paseo de la República,-12.1253462,-77.0244399,-12.125623,-77.024417,30.72,0.06,0.06,0.09,0.05
Miraflores,Avenida Paseo de la República,-12.12544,-77.0238773,-12.1253233,-77.0239234,13.85,0.03,0.03,0.04,0.02
Miraflores,Avenida Alfredo Benavides,-12.12544,-77.0238773,-12.1254749,-77.0236509,24.94,0.05,0.05,0.08,0.04
Miraflores,Avenida Alfredo Benavides,-12.1254749,-77.0236509,-12.1255437,-77.0231936,50.36,0.1,0.1,0.15,0.08
Miraflores,Avenida Alfredo Benavides,-12.1257449,-77.0219502,-12.1258713,-77.0210801,95.74,0.19,0.19,0.29,0.15
Miraflores,Calle Ramón Ribeyro,-12.1257449,-77.0219502,-12.12559,-77.0220149,18.53,0.04,0.04,0.06,0.03
Miraflores,Avenida Alfredo Benavides,-12.1258713,-77.0210801,-12.1260021,-77.0202573,90.72,0.18,0.18,0.27,0.14
Miraflores,Calle Juan de la Fuente,-12.1258713,-77.0210801,-12.1268522,-77.0213579,112.65,0.23,0.23,0.34,0.18
Miraflores,Avenida Alfredo Benavides,-12.1260021,-77.0202573,-12.126204,-77.0189507,143.97,0.29,0.29,0.43,0.23
Miraflores,Calle Julian Arias Aragüez,-12.1260021,-77.0202573,-12.1258688,-77.0202603,14.75,0.03,0.03,0.04,0.02
Miraflores,Avenida Alfredo Benavides,-12.126204,-77.0189507,-12.1263295,-77.0181137,92.16,0.18,0.18,0.27,0.14
Miraflores,Calle Francisco de Paula Ugarriza,-12.126204,-77.0189507,-12.1267764,-77.018934,63.35,0.13,0.13,0.2,0.1
Miraflores,Avenida República de Panamá,-12.1263295,-77.0181137,-12.126214,-77.0180913,13.01,0.03,0.03,0.04,0.02
Miraflores,Avenida República de Panamá,-12.1263295,-77.0181137,-12.1275874,-77.0180815,139.2,0.28,0.28,0.42,0.22
Miraflores,Avenida Alfredo Benavides,-12.1263295,-77.0181137,-12.126448,-77.0172982,89.73,0.18,0.18,0.27,0.14
Miraflores,Calle Berlín,-12.1224665,-77.0313429,-12.1219519,-77.0319968,91.14,0.18,0.18,0.27,0.14
Miraflores,Avenida Diagonal,-12.1224665,-77.0313429,-12.122926,-77.0318028,71.34,0.14,0.14,0.21,0.11
